,證券代碼,年月日,開盤價(元),最低價(元),最高價(元),收盤價(元),成交量(千股),報酬率％,SMA,WMA,Momentum,Stoch K%,Stoch D%,RSI,MACD,LW R%,A/D oscillator,CCI
73,Y9999 加權指數,2013-04-26,8034.47,8020.47,8081.37,8022.06,3865873,0.0039,7907.647,7957.089818181818,258.53000000000065,84.89879057924901,70.25415400317253,65.44745213490711,7.031509587711034,15.101209420750983,0.9789819376026313,98.91295476706281
74,Y9999 加權指數,2013-04-29,8043.71,8014.27,8046.22,8029.74,3361986,0.0957,7934.268000000001,7979.288545454546,228.6899999999996,86.85423297262886,76.90797459163181,66.14009576356511,13.357104491914622,13.145767027371125,0.7561815336463221,77.7216567927492
75,Y9999 加權指數,2013-04-30,8065.92,8065.92,8115.59,8093.66,4083562,0.796,7963.529,8008.26890909091,284.59000000000015,93.87874727851273,82.06167615637533,71.435400339382,20.227381540823934,6.121252721487269,1.7284074894302444,111.53630287259439
76,Y9999 加權指數,2013-05-02,8111.43,8095.7,8139.49,8128.51,3886984,0.4306,7995.473,8038.265454545455,337.15999999999985,97.12685786058206,87.23815134476095,73.90738791628617,27.58881263219103,2.873142139417928,1.046585978533911,122.17649826267743
77,Y9999 加權指數,2013-05-03,8157.51,8121.07,8175.33,8135.03,3898459,0.0802,8029.841,8063.639454545454,204.22999999999956,87.10028488204597,92.07931379146363,74.368487448134,34.91333348752919,12.899715117954036,0.8628824179874589,132.96829150166687
78,Y9999 加權指數,2013-05-06,8188.48,8153.96,8197.52,8169.05,3714535,0.4182,8053.666,8088.950181818182,198.67000000000007,89.97252747252739,91.19570158563599,76.75045472478611,42.293950917070504,10.027472527472614,1.4345730027548236,126.51667774179818
79,Y9999 加權指數,2013-05-07,8177.58,8145.1,8181.8,8163.06,3572342,-0.0733,8072.933999999999,8108.84,220.28999999999996,87.86277824739362,90.83184788697719,75.37999070254561,49.13086101010917,12.137221752606376,0.3474114441416911,91.4950092346833
80,Y9999 加權指數,2013-05-08,8177.94,8177.94,8284.09,8267.09,4292800,1.2744,8105.365999999999,8144.141090909091,243.3800000000001,94.61701656059023,92.04005037114648,81.68929003192696,56.81634247479873,5.382983439409761,1.1401789919924552,141.26107977437556
81,Y9999 加權指數,2013-05-09,8314.37,8279.46,8322.69,8285.89,4207494,0.2274,8131.584,8176.963636363636,264.1399999999994,88.79756468797535,90.97146494640722,82.5854036419185,64.80125348032281,11.202435312024651,1.286143881563696,151.77598659074684
82,Y9999 加權指數,2013-05-10,8284.38,8258.62,8297.33,8280.26,3869318,-0.0679,8157.435,8203.995636363636,258.1999999999998,86.24278581155558,89.73515863530608,81.26211661178012,72.31774036532764,13.757214188444422,0.29553087057609834,110.54297071558493
83,Y9999 加權指數,2013-05-13,8285.45,8230.65,8296.54,8248.32,3418289,-0.3857,8180.061,8220.520181818181,218.57999999999993,75.88677777057234,88.83395735443841,73.80734487429493,78.4721906193054,24.113222229427656,0.24707846410685005,73.44484775910823
84,Y9999 加權指數,2013-05-14,8272.2,8233.98,8295.41,8251.82,3526590,0.0424,8202.269,8233.567272727272,158.15999999999985,72.39942360867676,87.38847641804321,74.09667414473124,83.32730270805627,27.60057639132324,0.7665635682891083,59.47649406520467
